#NOME_FILE	DESCRIPTION	CREATED_BY	USED_IN	TO_DELETE
Params.txt	Contiene i parametri selezionati dall'utente nella pagina principale	crisprme_off.py	Vari (eg usato per sistemare layout in base al tipo di ricerca fatta (ref, var, both))	n
pam.txt	Contiene la sequenza pam, strutturato come input per crispritz	crisprme_off	Vari (ogni volta che serve sapere la pam usata)	n
guides.txt	Contiene le sequenze delle guide, strutturato come input per crispritz	crisprme_off	Vari (ogni volta che serve avere l'elenco delle guide)	n
JOB_ID.targets.txt	File output della ricerca di crispritz	submit_job.final.sh	extraction.sh: insieme ai target JOB_ID_ref.targets.txt -> creazione dei file JOB_ID.common_targets.txt JOB_ID.semi_common_targets.txt e JOB_ID.unique_targets.txt	y
JOB_ID.profile.xls	File output della ricerca di crispritz	submit_job.final.sh	n	y
JOB_ID.profile_rna.xls	File output della ricerca di crispritz	submit_job.final.sh	n	y
JOB_ID.profile_dna.xls	File output della ricerca di crispritz	submit_job.final.sh	n	y
JOB_ID.profile_complete.xls	File output della ricerca di crispritz	submit_job.final.sh	n	y
JOB_ID.extended_profile.xls	File output della ricerca di crispritz	submit_job.final.sh	crispritz generate-report	y
sampleID.txt	File contenente associazione sample - popolazione - superpopolazione - genere	crisprme_off	Vari (quando serve lavorare con i sample)	n
JOB_ID.common_targets.txt	Contiene i target che appaiono uguali sia nel ref che nel var	extraction.sh	n	y
JOB_ID.semi_common_targets.txt	Contiene i target che appaiono nel ref e nel var ma non sono uguali (eg uno contiene uno IUPAC)	extraction.sh	submit_job.final.sh, per creare il file JOB_ID.semi_common_targets.minmaxdisr.txt	y
JOB_ID.unique_targets.txt	Contiene i target che appaiono solo nel genoma var	extraction.sh	submit_job.final.sh, per creare il file JOB_ID.unique_targets.pamcreation.txt	y
ref	Cartella che contiene i file della ricerca crispritz fatti sul genoma reference	crisprme_off	submit_job.final.sh con crispritz generate report per i barplot	y
JOB_ID.semi_common_targets.minmaxdisr.txt	File dei semicommon, con le colonne aggiuntive (pam creation, variant unique, samples, annotation) settate a n, più la colonna real guide (guida senza i bulges)	submit_job.final.sh	submit_job.final.sh per creare il file JOB_ID.total.txt	y
JOB_ID.unique_targets.pamcreation.txt	File degli unique, con le colonne aggiuntive (pam creation, variant unique, samples, annotation) settate a n (tranne varunique, messa a y), più la colonna real guide (guida senza i bulges)	submit_job.final.sh	submit_job.final.sh per creare il file JOB_ID.total.txt	y
JOB_ID.total.txt	Unione dei file JOB_ID.unique_targets.pamcreation.txt e  JOB_ID.semi_common_targets.minmaxdisr.txt.	submit_job.final.sh	cluster.dict.py per essere clusterizzato, creando il file JOB_ID.total.cluster.txt (nota il cluster ordina per cromosomi)	y
bedfile_tmp.bed	Usato per il calcolo del Doench score, è un file di supporto	annotator_ca_sample.py	annotator_cal_sample per il calcolo del Doench	y
JOB_ID.sample_annotation.GUIDE.samples.txt	Per ogni sample, il file contiene il conteggio dei target che hanno una particolare annotazione, Il conteggio è diviso per 'total' (mismatch + bulge)	annotator_cal_sample	crisprme_off (chiamata a crispritz generate-report) -> creazione del radarchart quando l'utente seleziona un sample nel graphical report	n
JOB_ID.sample_annotation.GUIDE.population.txt	Per ogni popolazione, il file contiene il conteggio dei target che hanno una particolare annotazione, Il conteggio è diviso per 'total' (mismatch + bulge)	annotator_cal_sample	crisprme_off (chiamata a crispritz generate-report) -> creazione del radarchart quando l'utente seleziona una pop nel graphical report	n
JOB_ID.sample_annotation.GUIDE.superpopulation.txt	Per ogni superpopolazione, il file contiene il conteggio dei target che hanno una particolare annotazione, Il conteggio è diviso per 'total' (mismatch + bulge)	annotator_cal_sample	crisprme_off (chiamata a crispritz generate-report) -> creazione del radarchart quando l'utente seleziona una superpop nel graphical report	n
JOB_ID.sumref.Annotation.summary.txt	Per ogni guida, il file contiene il conteggio del numero di target trovati nel genoma REFERENCE che hanno una particolare annotazione. Il conteggio è diviso per 'total'	annotator_cal_sample	submit_job.final.sh con chiamata a crispritz generate-report per creare radarchart e barplot generali	y
JOB_ID.PopulationDistribution.txt	Il file contiene il numero di targets trovati per ogni popolazione, divisi per 'total'. Per ogni cella, il conteggio totale è diviso per bulge size (esempio 5,10,25 indica che in quella popolazione, in quel valore di total, ci sono 5 target con 0 Bulges, 10 con 1 Bulge, 25 con 2 Bulges, per un totale di 40 target)	annotator_cal_sample	populations_distribution.py per generare le immagini del tipo populations_distribution_GUIDE_1total.png	y
JOB_ID.addToGeneralTable.txt	Conteggio di particolari target da aggiungere poi al conteggio finale (JOB_ID.general_target_count.txt)	annotator_cal_sample	summary_by_guide.py prende questo file e aggiunge i suoi valori per ottenere JOB_ID.general_target_count.txt	y
