#SAMPLE_ID	POPULATION_ID	SUPERPOPULATION_ID	GENDER
HGDP00001	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00003	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00005	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00007	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00009	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00011	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00013	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00015	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00017	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00019	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00021	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00023	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00025	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00027	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00029	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00031	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00033	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00035	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00037	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00039	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00041	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00043	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00045	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00047	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00049	Brahui	CENTRAL_SOUTH_ASIA	male
HGDP00052	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00054	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00056	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00057	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00058	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00060	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00062	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00064	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00066	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00068	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00070	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00072	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00074	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00076	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00078	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00080	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00082	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00086	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00088	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00090	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00092	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00094	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00096	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00098	Balochi	CENTRAL_SOUTH_ASIA	male
HGDP00099	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00100	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00102	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00103	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00104	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00105	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00106	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00108	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00109	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00110	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00115	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00118	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00120	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00121	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00122	Hazara	CENTRAL_SOUTH_ASIA	male
